Toronto, Ontario
Montreal, Quebec
Vancouver, British Columbia
Calgary, Alberta
Edmonton, Alberta
Ottawa–Gatineau, Ontario/Quebec
Winnipeg, Manitoba
Quebec City, Quebec
Hamilton, Ontario
Kitchener–Waterloo–Cambridge, Ontario
London, Ontario
Victoria, British Columbia
Halifax, Nova Scotia
Oshawa, Ontario
Windsor, Ontario
Saskatoon, Saskatchewan
St. Catharines–Niagara, Ontario
Regina, Saskatchewan
St. John's, Newfoundland and Labrador
Kelowna, British Columbia
Barrie, Ontario
Sherbrooke, Quebec
Guelph, Ontario
Abbotsford, British Columbia
Kingston, Ontario
Kanata, Ontario
Trois-Rivières, Quebec
Moncton–Dieppe, New Brunswick
